Timestamp,AH,Temp,RH
0,5.84,23.09,28.29
2,6.23,23.07,30.21
4,6.66,23.06,32.28
6,7.11,23.04,34.5
8,7.58,23.02,36.82
10,8.05,23.02,39.14
12,8.51,23.02,41.36
14,8.92,23.0,43.39
16,9.3,23.0,45.24
18,9.64,23.0,46.89
20,9.94,23.0,48.38
22,10.19,22.97,49.68
24,10.43,22.97,50.85
26,10.67,23.0,51.94
28,10.85,22.97,52.88
30,11.02,22.95,53.76
32,11.18,22.95,54.58
34,11.31,22.92,55.31
36,11.47,22.94,55.99
38,11.6,22.94,56.63
40,11.72,22.94,57.24
42,11.84,22.94,57.82
44,11.92,22.9,58.33
46,12.02,22.91,58.8
48,12.11,22.9,59.27
50,12.21,22.91,59.72
52,12.28,22.89,60.14
54,12.37,22.9,60.53
56,12.45,22.9,60.92
58,12.51,22.89,61.26
60,12.58,22.88,61.62
62,12.66,22.9,61.96
64,12.71,22.88,62.28
66,12.78,22.88,62.6
68,12.82,22.86,62.91
70,12.89,22.86,63.22
72,12.96,22.87,63.53
74,13.0,22.85,63.8
76,13.06,22.86,64.06
78,13.13,22.88,64.34
80,13.17,22.86,64.58
82,13.22,22.87,64.83
84,13.25,22.85,65.05
86,13.29,22.84,65.29
88,13.34,22.84,65.51
90,13.39,22.85,65.71
92,13.43,22.84,65.94
94,13.47,22.84,66.14
96,13.51,22.85,66.32
98,13.55,22.84,66.52
100,13.57,22.82,66.72
102,13.61,22.83,66.9
104,13.66,22.84,67.06
106,13.69,22.84,67.25
108,13.72,22.83,67.41
110,13.74,22.82,67.57
112,13.79,22.83,67.75
114,13.82,22.83,67.89
116,13.82,22.8,68.03
118,13.87,22.81,68.21
120,13.89,22.81,68.35
122,13.91,22.79,68.52
124,13.95,22.81,68.64
126,13.97,22.8,68.77
128,14.0,22.8,68.92
130,14.02,22.79,69.04
132,14.05,22.8,69.17
134,14.07,22.78,69.31
136,14.11,22.81,69.43
138,14.12,22.78,69.57
140,14.15,22.8,69.67
142,14.18,22.79,69.82
144,14.19,22.78,69.94
146,14.23,22.8,70.05
148,14.24,22.78,70.18
150,14.27,22.79,70.27
152,14.29,22.78,70.41
154,14.31,22.78,70.52
156,14.31,22.77,70.57
158,14.36,22.8,70.67
160,14.36,22.77,70.79
162,14.39,22.78,70.89
164,14.39,22.76,70.99
166,14.42,22.77,71.11
168,14.43,22.76,71.2
170,14.46,22.77,71.29
172,14.48,22.77,71.39
174,14.49,22.76,71.48
176,14.52,22.77,71.59
178,14.53,22.76,71.66
180,14.55,22.77,71.76
182,14.56,22.75,71.86
184,14.58,22.76,71.94
186,14.59,22.75,72.03
188,14.62,22.76,72.12
190,14.63,22.75,72.2
192,14.64,22.75,72.28
194,14.68,22.77,72.36
196,14.66,22.73,72.46
198,14.68,22.73,72.53
200,14.72,22.76,72.62
202,14.71,22.73,72.68
204,14.72,22.73,72.76
206,14.74,22.73,72.86
208,14.76,22.73,72.92
210,14.77,22.73,73.0
212,14.79,22.73,73.07
214,14.79,22.72,73.13
216,14.82,22.73,73.22
218,14.82,22.72,73.3
220,14.85,22.73,73.37
222,14.86,22.73,73.45
224,14.87,22.73,73.5
226,14.87,22.71,73.57
228,14.89,22.71,73.65
